algoritmo	kitdecaptura	preprocesado	muestra	gold_standard	Precision	Recall	Fscore	QueryTpCount	QueryFpCount	QueryTotalCount	TruthTpCount	TruthFnCount	TruthTotalCount	svtype
xhmm	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.0	0.0	NaN	0	10	10	0	14	14	Duplication
xhmm	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.0	0.0	NaN	0	5	5	0	1366	1366	Deletion
xhmm	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.14285714285714285	0.0234192037470726	0.040241448692152924	1	6	7	10	417	427	Duplication
xhmm	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	0.0	0.0	NaN	0	5	5	0	253	253	Deletion
xhmm	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	0.0	0.0	NaN	0	7	7	0	14	14	Duplication
xhmm	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.2916666666666667	0.029282576866764276	0.0532218209465881	7	17	24	40	1326	1366	Deletion
xhmm	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.0	0.0	NaN	0	22	22	0	427	427	Duplication
xhmm	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.125	0.043478260869565216	0.06451612903225806	3	21	24	11	242	253	Deletion
xhmm	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.0	0.0	NaN	0	22	22	0	14	14	Duplication
xhmm	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.0	0.0	NaN	0	7	7	0	1366	1366	Deletion
xhmm	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.0625	0.0234192037470726	0.03407155025553663	1	15	16	10	417	427	Duplication
xhmm	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	0.0	0.0	NaN	0	7	7	0	253	253	Deletion
xhmm	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	0.0	0.0	NaN	0	16	16	0	14	14	Duplication
xhmm	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.1111111111111111	0.015851137146795313	0.027744270205066344	3	24	27	23	1428	1451	Deletion
xhmm	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.02040816326530612	0.01935483870967742	0.01986754966887417	1	48	49	9	456	465	Duplication
xhmm	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.1111111111111111	0.06622516556291391	0.08298755186721991	3	24	27	20	282	302	Deletion
xhmm	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.0	0.0	NaN	0	49	49	0	16	16	Duplication
xhmm	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.0821917808219178	0.028256374913852515	0.04205487648516967	6	67	73	41	1410	1451	Deletion
xhmm	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.0	0.0	NaN	0	22	22	0	465	465	Duplication
xhmm	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.0136986301369863	0.033112582781456956	0.01937984496124031	1	72	73	10	292	302	Deletion
xhmm	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.0	0.0	NaN	0	22	22	0	16	16	Duplication
xhmm	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.0821917808219178	0.028256374913852515	0.04205487648516967	6	67	73	41	1410	1451	Deletion
xhmm	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.0	0.0	NaN	0	22	22	0	465	465	Duplication
xhmm	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.0136986301369863	0.033112582781456956	0.01937984496124031	1	72	73	10	292	302	Deletion
xhmm	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.0	0.0	NaN	0	22	22	0	16	16	Duplication
xhmm	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.1111111111111111	0.015851137146795313	0.027744270205066344	3	24	27	23	1428	1451	Deletion
xhmm	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.02040816326530612	0.01935483870967742	0.01986754966887417	1	48	49	9	456	465	Duplication
xhmm	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.1111111111111111	0.06622516556291391	0.08298755186721991	3	24	27	20	282	302	Deletion
xhmm	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.0	0.0	NaN	0	49	49	0	16	16	Duplication
xhmm	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.10416666666666667	0.04962095106822881	0.06722061432172534	10	86	96	72	1379	1451	Deletion
xhmm	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.0	0.0	NaN	0	24	24	0	465	465	Duplication
xhmm	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.020833333333333332	0.06291390728476821	0.03130148270181219	2	94	96	19	283	302	Deletion
xhmm	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.0	0.0	NaN	0	24	24	0	16	16	Duplication
xhmm	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.225	0.04203997243280496	0.07084328021162656	9	31	40	61	1390	1451	Deletion
xhmm	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.014925373134328358	0.010752688172043012	0.012500000000000002	1	66	67	5	460	465	Duplication
xhmm	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.125	0.09933774834437085	0.1107011070110701	5	35	40	30	272	302	Deletion
xhmm	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.014925373134328358	0.3125	0.028490028490028487	1	66	67	5	11	16	Duplication
xhmm	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.1111111111111111	0.0005681818181818182	0.0011305822498586774	1	8	9	1	1759	1760	Deletion
xhmm	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.0	0.0	NaN	0	5	5	0	527	527	Duplication
xhmm	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.1111111111111111	0.02531645569620253	0.041237113402061855	1	8	9	8	308	316	Deletion
xhmm	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.0	0.0	NaN	0	5	5	0	15	15	Duplication
xhmm	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.1111111111111111	0.0005681818181818182	0.0011305822498586774	1	8	9	1	1759	1760	Deletion
xhmm	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.0	0.0	NaN	0	5	5	0	527	527	Duplication
xhmm	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	pass	0.1111111111111111	0.02531645569620253	0.041237113402061855	1	8	9	8	308	316	Deletion
xhmm	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	pass	0.0	0.0	NaN	0	5	5	0	15	15	Duplication
xhmm	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	general	0.18181818181818182	0.011363636363636364	0.021390374331550804	4	18	22	20	1740	1760	Deletion
xhmm	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	general	0.0	0.0	NaN	0	9	9	0	527	527	Duplication
xhmm	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	pass	0.09090909090909091	0.028481012658227847	0.043373493975903614	2	20	22	9	307	316	Deletion
xhmm	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	pass	0.0	0.0	NaN	0	9	9	0	15	15	Duplication
cnvkit	IDT-V2	bowtie2-picard-gatk3	Réplica 4	general	0.0	0.0	NaN	0	12	12	0	1366	1366	Deletion
